Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P32419	fatty acid beta-oxidation [GO:0006635]; glyoxylate cycle [GO:0006097]; malate metabolic process [GO:0006108]; NADH regeneration [GO:0006735]; tricarboxylic acid cycle [GO:0006099]	L-malate dehydrogenase activity [GO:0030060]; mRNA binding [GO:0003729]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]
P47074	cell division [GO:0051301]; distributive segregation [GO:0032837]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic DNA integrity checkpoint [GO:0044774]; mitotic spindle assembly checkpoint [GO:0007094]; positive regulation of protein autoubiquitination [GO:1902499]	protein kinase activity [GO:0004672]	condensed nuclear chromosome kinetochore [GO:0000778]; mitotic checkpoint complex [GO:0033597]
P38132	chromatin silencing at telomere [GO:0006348]; DNA replication initiation [GO:0006270]; DNA strand elongation involved in DNA replication [GO:0006271]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]; nuclear DNA replication [GO:0033260]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; silent mating-type cassette heterochromatin assembly [GO:0030466]	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; MCM complex binding [GO:1904931]; single-stranded DNA helicase activity [GO:0017116]	chromosome, telomeric region [GO:0000781]; CMG complex [GO:0071162]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; MCM complex [GO:0042555]; MCM core complex [GO:0097373]; nuclear pre-replicative complex [GO:0005656]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]
P38174	protein initiator methionine removal involved in protein maturation [GO:0035551]	metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q6B0V8	mitotic recombination [GO:0006312]		integral component of membrane [GO:0016021]
O13525	ubiquinone biosynthetic process [GO:0006744]		extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P00424	mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]	cytochrome-c oxidase activity [GO:0004129]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]
P27680	methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]; 3-demethylubiquinol-6 3-O-methyltransferase activity [GO:0061543]; 3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]; hexaprenyldihydroxybenzoate methyltransferase activity [GO:0004395]	extrinsic component of membrane [GO:0019898]; extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P53923	invasive growth in response to glucose limitation [GO:0001403]; protein urmylation [GO:0032447]; pseudohyphal growth [GO:0007124]; tRNA thio-modification [GO:0034227]; tRNA wobble position uridine thiolation [GO:0002143]; tRNA wobble uridine modification [GO:0002098]	nucleotidyltransferase activity [GO:0016779]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q06469	cellular response to heat [GO:0034605]; intracellular protein transport [GO:0006886]; protein folding [GO:0006457]; protein localization to nucleus [GO:0034504]	chaperone binding [GO:0051087]	nucleus [GO:0005634]
P21182	pantothenate biosynthetic process [GO:0015940]; S-adenosylmethioninamine biosynthetic process [GO:0006557]; spermidine biosynthetic process [GO:0008295]; spermine biosynthetic process [GO:0006597]	adenosylmethionine decarboxylase activity [GO:0004014]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P53550	deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; stress granule assembly [GO:0034063]	chromatin binding [GO:0003682]; hydrolase activity [GO:0016787]; m7G(5')pppN diphosphatase activity [GO:0050072]; manganese ion binding [GO:0030145]; mRNA binding [GO:0003729]	cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]; Dcp1-Dcp2 complex [GO:0098745]; nucleus [GO:0005634]; P-body [GO:0000932]
P36162	attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; mitotic cell cycle [GO:0000278]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of microtubule polymerization [GO:0031116]		cytoplasm [GO:0005737]; DASH complex [GO:0042729]; microtubule [GO:0005874]; mitotic spindle midzone [GO:1990023]; mitotic spindle pole body [GO:0044732]
Q99288	dephosphorylation [GO:0016311]; intracellular sterol transport [GO:0032366]	acid phosphatase activity [GO:0003993]; phosphatase activity [GO:0016791]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P25453	chromosome organization involved in meiotic cell cycle [GO:0070192]; DNA recombinase assembly [GO:0000730]; meiotic cell cycle [GO:0051321]; meiotic joint molecule formation [GO:0000709]; mitotic recombination [GO:0006312]; reciprocal meiotic recombination [GO:0007131]; sporulation resulting in formation of a cellular spore [GO:0030435]; strand invasion [GO:0042148]; synaptonemal complex assembly [GO:0007130]	ATPase activity [GO:0016887]; ATPase activity, acting on DNA [GO:0008094]; ATPase inhibitor activity [GO:0042030]; ATP binding [GO:0005524]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]	condensed nuclear chromosome [GO:0000794]; nucleus [GO:0005634]
P69771	endosome transport via multivesicular body sorting pathway [GO:0032509]; ESCRT III complex assembly [GO:1904902]; late endosome to vacuole transport [GO:0045324]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; protein targeting to vacuole [GO:0006623]; protein transport [GO:0015031]		cytoplasm [GO:0005737]; ESCRT III complex [GO:0000815]; late endosome [GO:0005770]; multivesicular body [GO:0005771]
P53208	cardiolipin acyl-chain remodeling [GO:0035965]; lipid homeostasis [GO:0055088]; phosphatidic acid biosynthetic process [GO:0006654]	acetyl-CoA hydrolase activity [GO:0003986]; C-acetyltransferase activity [GO:0016453]; carboxylic ester hydrolase activity [GO:0052689]; lysophosphatidic acid acyltransferase activity [GO:0042171]; phospholipase A2 activity [GO:0004623]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P53073	protein folding in endoplasmic reticulum [GO:0034975]; protein insertion into ER membrane by stop-transfer membrane-anchor sequence [GO:0045050]		EMC complex [GO:0072546]; endoplasmic reticulum [GO:0005783]
P38732	peptidyl-lysine dimethylation [GO:0018027]; peptidyl-lysine monomethylation [GO:0018026]	protein-lysine N-methyltransferase activity [GO:0016279]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q04651	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	identical protein binding [GO:0042802]	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; ER to Golgi transport vesicle membrane [GO:0012507]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of Golgi membrane [GO:0030173]; membrane [GO:0016020]
P53121	FAD transport [GO:0015883]; fungal-type cell wall biogenesis [GO:0009272]; sphingolipid biosynthetic process [GO:0030148]; transmembrane transport [GO:0055085]	FAD transmembrane transporter activity [GO:0015230]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P53834	positive regulation of ATPase activity [GO:0032781]; protein folding [GO:0006457]	ATPase activator activity [GO:0001671]; chaperone binding [GO:0051087]; Hsp90 protein binding [GO:0051879]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P32599	actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; actin filament organization [GO:0007015]; formin-nucleated actin cable assembly [GO:0070649]	actin filament binding [GO:0051015]; metal ion binding [GO:0046872]; protein-macromolecule adaptor activity [GO:0030674]	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]
Q08886	glucose mediated signaling pathway [GO:0010255]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of phosphorylation [GO:0042326]; negative regulation of Ras protein signal transduction [GO:0046580]; positive regulation of Ras protein signal transduction [GO:0046579]; protein polyubiquitination [GO:0000209]; pseudohyphal growth [GO:0007124]; regulation of cell shape [GO:0008360]; ubiquitin-dependent protein catabolic process [GO:0006511]	cAMP-dependent protein kinase inhibitor activity [GO:0004862]; GTPase activating protein binding [GO:0032794]	cell cortex of cell tip [GO:0051285]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P07286	aerobic respiration [GO:0009060]; dolichyl diphosphate biosynthetic process [GO:0006489]; protein N-linked glycosylation [GO:0006487]	metal ion binding [GO:0046872]; phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963]; transferase activity, transferring glycosyl groups [GO:0016757]; UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity [GO:0003975]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; UDP-N-acetylglucosamine transferase complex [GO:0043541]
P38143	cellular response to oxidative stress [GO:0034599]	glutathione peroxidase activity [GO:0004602]; peroxidase activity [GO:0004601]; phospholipid-hydroperoxide glutathione peroxidase activity [GO:0047066]	cytoplasm [GO:0005737]; extrinsic component of mitochondrial inner membrane [GO:0031314]; extrinsic component of mitochondrial outer membrane [GO:0031315]; nucleus [GO:0005634]
Q05905	protein targeting to membrane [GO:0006612]		cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]
Q12345	chromatin silencing at telomere [GO:0006348]; nucleosome mobilization [GO:0042766]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]		chromosome, telomeric region [GO:0000781]; Ino80 complex [GO:0031011]; nucleus [GO:0005634]
Q08416			endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P28777	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	chorismate synthase activity [GO:0004107]; FMN binding [GO:0010181]; riboflavin reductase (NADPH) activity [GO:0042602]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P54074	cellular response to amino acid stimulus [GO:0071230]; transcription factor catabolic process [GO:0036369]; ubiquitin-dependent protein catabolic process [GO:0006511]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	Asi complex [GO:0097658]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]; nuclear periphery [GO:0034399]
P35193	cellular protein-containing complex localization [GO:0034629]; protein transport [GO:0015031]; selective autophagy [GO:0061912]; ubiquitin-dependent ERAD pathway [GO:0030433]; vesicle organization [GO:0016050]	protein-macromolecule adaptor activity [GO:0030674]	Cvt complex [GO:0034270]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
Q06671	cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; late nucleophagy [GO:0044805]; positive regulation of macroautophagy [GO:0016239]; protein localization to phagophore assembly site [GO:0034497]		extrinsic component of membrane [GO:0019898]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
Q12092	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; late nucleophagy [GO:0044805]; macroautophagy [GO:0016236]; piecemeal microautophagy of the nucleus [GO:0034727]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]	SNARE binding [GO:0000149]	Atg1/ULK1 kinase complex [GO:1990316]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]
P53855	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; autophagy of peroxisome [GO:0030242]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; late nucleophagy [GO:0044805]; piecemeal microautophagy of the nucleus [GO:0034727]; reticulophagy [GO:0061709]	phosphatidylinositol-3-phosphate binding [GO:0032266]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extrinsic component of membrane [GO:0019898]; extrinsic component of phagophore assembly site membrane [GO:0097632]; phagophore [GO:0061908]; phagophore assembly site [GO:0000407]
Q12292	cellular protein-containing complex assembly [GO:0034622]; cellular protein-containing complex localization [GO:0034629]; protein targeting to vacuole involved in autophagy [GO:0071211]	protein-macromolecule adaptor activity [GO:0030674]	Cvt complex [GO:0034270]; cytosol [GO:0005829]; phagophore assembly site membrane [GO:0034045]
P18634	protein transport [GO:0015031]; ubiquitin-dependent endocytosis [GO:0070086]	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q05123	ATP-dependent chromatin remodeling [GO:0043044]; chromatin organization [GO:0006325]; nucleosome disassembly [GO:0006337]; nucleosome mobilization [GO:0042766]; nucleosome positioning [GO:0016584]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription elongation from RNA polymerase II promoter [GO:0006368]	structural molecule activity [GO:0005198]	nucleus [GO:0005634]; RSC-type complex [GO:0016586]; SWI/SNF complex [GO:0016514]
P40518	actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; mitochondrion inheritance [GO:0000001]	actin filament binding [GO:0051015]; mRNA binding [GO:0003729]; protein-macromolecule adaptor activity [GO:0030674]	actin cortical patch [GO:0030479]; Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; extrinsic component of mitochondrial outer membrane [GO:0031315]
P61829	ATP synthesis coupled proton transport [GO:0015986]	identical protein binding [GO:0042802]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]
P38323	positive regulation of protein-pyridoxal-5-phosphate linkage [GO:1904287]; protein catabolic process [GO:0030163]; protein import into mitochondrial matrix [GO:0030150]; protein refolding [GO:0042026]; proteolysis [GO:0006508]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q3E7B2	mitochondrial cytochrome c oxidase assembly [GO:0033617]; negative regulation of mitochondrial translation [GO:0070130]		integral component of mitochondrial inner membrane [GO:0031305]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P43132	chromatin silencing at telomere [GO:0006348]; histone H3-K4 methylation [GO:0051568]; histone H3-K4 trimethylation [GO:0080182]; telomere maintenance [GO:0000723]	transcription regulatory region sequence-specific DNA binding [GO:0000976]	chromosome, telomeric region [GO:0000781]; Set1C/COMPASS complex [GO:0048188]
P53727	cell cycle [GO:0007049]; pyridoxal 5'-phosphate salvage [GO:0009443]; pyridoxal phosphate biosynthetic process [GO:0042823]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyridoxal kinase activity [GO:0008478]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P38356	metal ion transport [GO:0030001]; positive regulation of protein ubiquitination [GO:0031398]; protein targeting to vacuole [GO:0006623]; ubiquitin-dependent protein catabolic process [GO:0006511]		endoplasmic reticulum [GO:0005783]; fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]
P47176	branched-chain amino acid biosynthetic process [GO:0009082]; branched-chain amino acid catabolic process [GO:0009083]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; L-methionine salvage from methylthioadenosine [GO:0019509]; valine biosynthetic process [GO:0009099]	branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-leucine transaminase activity [GO:0052654]; L-valine transaminase activity [GO:0052655]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q12128	activation of GTPase activity [GO:0090630]; negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of GTPase activity [GO:0043547]; regulation of fungal-type cell wall organization [GO:0060237]; signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]	cell cortex [GO:0005938]
P48237	mitochondrial genome maintenance [GO:0000002]; mitochondrial RNA processing [GO:0000963]; mRNA processing [GO:0006397]; positive regulation of rRNA processing [GO:2000234]; RNA splicing [GO:0008380]; rRNA metabolic process [GO:0016072]	rRNA binding [GO:0019843]	mitochondrion [GO:0005739]
Q06680	cell division [GO:0051301]; meiotic chromosome condensation [GO:0010032]; meiotic chromosome separation [GO:0051307]; mitotic chromosome condensation [GO:0007076]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of meiotic DNA double-strand break formation [GO:1903342]; rDNA condensation [GO:0070550]; synaptonemal complex assembly [GO:0007130]; tRNA gene clustering [GO:0070058]	chromatin binding [GO:0003682]	condensed chromosome [GO:0000793]; condensin complex [GO:0000796]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P47001	fungal-type cell wall organization [GO:0031505]	structural constituent of cell wall [GO:0005199]	cell periphery [GO:0071944]; cellular bud tip [GO:0005934]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]
P32344	mitochondrial translation [GO:0032543]; mRNA processing [GO:0006397]	structural constituent of ribosome [GO:0003735]	integral component of mitochondrial inner membrane [GO:0031305]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]
Q04689			
P43548	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	amino acid transmembrane transporter activity [GO:0015171]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
P53730	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]	alpha-1,6-mannosyltransferase activity [GO:0000009]; dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase [GO:0052917]; mannosyltransferase activity [GO:0000030]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P32449	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P38840	alpha-amino acid metabolic process [GO:1901605]; aromatic amino acid family catabolic process [GO:0009074]; aromatic amino acid family metabolic process [GO:0009072]; L-kynurenine catabolic process [GO:0097053]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-phenylalanine biosynthetic process [GO:0009094]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; tyrosine biosynthetic process [GO:0006571]	2-aminoadipate transaminase activity [GO:0047536]; aromatic-amino-acid:2-oxoglutarate aminotransferase activity [GO:0008793]; kynurenine aminotransferase activity [GO:0036137]; kynurenine-oxoglutarate transaminase activity [GO:0016212]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q02887	autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; cell death in response to hydrogen peroxide [GO:0036474]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; macroautophagy [GO:0016236]; piecemeal microautophagy of the nucleus [GO:0034727]; protein lipidation [GO:0006497]; protein localization to phagophore assembly site [GO:0034497]; vesicle organization [GO:0016050]	phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4-phosphate binding [GO:0070273]	cytosol [GO:0005829]; endosome [GO:0005768]; extrinsic component of membrane [GO:0019898]; fungal-type vacuole membrane [GO:0000329]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]
Q06321	ascospore-type prospore membrane formation [GO:0032120]; carbohydrate metabolic process [GO:0005975]; lipid glycosylation [GO:0030259]; sterol biosynthetic process [GO:0016126]; sterol metabolic process [GO:0016125]	brassicasterol glucosyltransferase activity [GO:0102203]; cholesterol alpha-glucosyltransferase activity [GO:0102205]; soladodine glucosyltransferase activity [GO:0102202]; sterol 3-beta-glucosyltransferase activity [GO:0016906]	cytoplasm [GO:0005737]; membrane [GO:0016020]
P80428	ATP-dependent chromatin remodeling [GO:0043044]; chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]; histone H4 acetylation [GO:0043967]; kinetochore assembly [GO:0051382]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]	chromatin binding [GO:0003682]; histone binding [GO:0042393]; nucleosomal histone binding [GO:0031493]	chromatin [GO:0000785]; Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]; Swr1 complex [GO:0000812]
Q8TGM7			
P00856	ATP synthesis coupled proton transport [GO:0015986]	proton transmembrane transporter activity [GO:0015078]	integral component of membrane [GO:0016021]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]
Q05583	iron-sulfur cluster assembly [GO:0016226]; protein maturation by iron-sulfur cluster transfer [GO:0097428]; tRNA wobble uridine modification [GO:0002098]		CIA complex [GO:0097361]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P48562	activation of protein kinase activity [GO:0032147]; histone-serine phosphorylation [GO:0035404]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein import into nucleus [GO:0042307]; protein phosphorylation [GO:0006468]; regulation of exit from mitosis [GO:0007096]; regulation of gene expression [GO:0010468]; response to pheromone [GO:0019236]; septin ring organization [GO:0031106]; sterol import [GO:0035376]; stress-activated protein kinase signaling cascade [GO:0031098]; vacuole inheritance [GO:0000011]	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cellular bud [GO:0005933]; cytoplasm [GO:0005737]; fungal-type vacuole [GO:0000324]; nucleus [GO:0005634]
Q3E846	cellular copper ion homeostasis [GO:0006878]; mitochondrial cytochrome c oxidase assembly [GO:0033617]; plasma membrane ATP synthesis coupled electron transport [GO:0042774]; respiratory chain complex IV assembly [GO:0008535]	copper ion binding [GO:0005507]	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; respiratory chain complex IV [GO:0045277]
Q06405	ATP synthesis coupled proton transport [GO:0015986]		mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]
P38360	cadmium ion transport [GO:0015691]; cellular metal ion homeostasis [GO:0006875]; copper ion transmembrane transport [GO:0035434]; response to cadmium ion [GO:0046686]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; copper ion binding [GO:0005507]; proteasome binding [GO:0070628]; P-type cadmium transporter activity [GO:0008551]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; proteasome core complex [GO:0005839]
P38636	cellular copper ion homeostasis [GO:0006878]; cellular iron ion homeostasis [GO:0006879]; cellular response to oxidative stress [GO:0034599]; copper ion transport [GO:0006825]; response to oxidative stress [GO:0006979]	copper chaperone activity [GO:0016531]; metal ion binding [GO:0046872]	cytosol [GO:0005829]
Q12691	sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ion transmembrane transporter activity, phosphorylative mechanism [GO:0015662]; P-type proton-exporting transporter activity [GO:0008553]; P-type sodium transporter activity [GO:0008554]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P33314	axial cellular bud site selection [GO:0007120]; bipolar cellular bud site selection [GO:0007121]; establishment or maintenance of cell polarity [GO:0007163]; filamentous growth [GO:0030447]; invasive filamentous growth [GO:0036267]; mitotic spindle orientation checkpoint [GO:0031578]; signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]	cellular bud neck [GO:0005935]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; prospore membrane [GO:0005628]
P25627	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; ribosomal small subunit export from nucleus [GO:0000056]; rRNA (guanine-N7)-methylation [GO:0070476]	rRNA (guanine) methyltransferase activity [GO:0016435]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P53082	cellular iron ion homeostasis [GO:0006879]; negative regulation of transcription from RNA polymerase II promoter in response to iron [GO:0034396]	iron-sulfur cluster binding [GO:0051536]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P39969	actin filament organization [GO:0007015]; budding cell apical bud growth [GO:0007118]; endosome organization [GO:0007032]; receptor recycling [GO:0001881]; retrograde transport, endosome to Golgi [GO:0042147]; septum digestion after cytokinesis [GO:0000920]	phospholipid binding [GO:0005543]	cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; early endosome [GO:0005769]; recycling endosome [GO:0055037]; site of polarized growth [GO:0030427]; trans-Golgi network [GO:0005802]
Q06150			
